objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
tree0001,tree0001.jpg,,,Trident Maple,Karen Buddendeck,2024-03,Photograph of Trident Maple in front yard.,Trees; Landscape gardening,"Apex, NC",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
tree0002,tree0002.jpg,,,Black Dragon Cryptomeria,Karen Buddendeck,2024-03,Photograph of Black Dragon Cryptomeria in side yard.,Trees; Landscape gardening,"Apex, NC",,,,,,,,,
tree0003,tree0003.jpg,,,Arizona Cypress,Karen Buddendeck,2024-03,Photograph of Arizona Cypress in backyard.,Trees; Landscape gardening,"Apex, NC",,,,,,,,,
tree0004,tree0004.jpg,,,Emerald Arborvitae,Karen Buddendeck,2024-03,Photograph of Emerald Arborvitae in backyard.,Trees; Landscape gardening,"Apex, NC",,,,,,,,,
tree0005,tree0005.jpg,,,Blue Steel Cypress,Karen Buddendeck,2022-02,Photograph of Blue Steel Cypress in backyard.,Trees; Landscape gardening,"Apex, NC",,,,,,,,,
tree0006,tree0006.jpg,,,River Birch,Karen Buddendeck,2022-02,Photograph of River Birch in backyard.,Trees; Landscape gardening,"Apex, NC",,,,,,,,,
tree0007,tree0007.jpg,,,Bald Cypress,Karen Buddendeck,2023-03,Photograph of Bald Cypress in backyard.,Trees; Landscape gardening,"Apex, NC",,,,,,,,,
tree0008,tree0008.jpg,,,Key Parris Magnolia,Karen Buddendeck,2023-03,Photograph of Key Parris Magnolia in backyard.,Trees; Landscape gardening,"Apex, NC",,,,,,,,,
tree0009,tree0009.jpg,,,Acadiana Holly,Karen Buddendeck,2025-03,Photograph of Acadiana Holly in backyard.,Trees; Landscape gardening,"Apex, NC",,,,,,,,,
tree0010,tree0010.jpg,,,Forest Pansy Redbud,Karen Buddendeck,2025-03,Photograph of Forest Pansy Redbud in backyard.,Trees; Landscape gardening,"Apex, NC",,,,,,,,,
